Date,^GSPC,^DJI,^IXIC,^N225,SPY,^RUT,^STI,^FTSE,VOO,VTI,VEA,VWO,VNQ,VUG,VTV,VB
2015-01-02,2058.199951171875,17832.990234375,4726.81005859375,,172.5928955078125,1198.800048828125,3370.590087890625,6547.7998046875,157.63287353515625,89.16783905029297,27.90673065185547,29.473983764648438,55.20097351074219,94.9240493774414,65.30995178222656,100.3404541015625
2015-01-05,2020.5799560546875,17501.650390625,4652.56982421875,17408.7109375,169.47589111328125,1181.3499755859375,3328.280029296875,6417.2001953125,154.86341857910156,87.63570404052734,27.28476905822754,29.004602432250977,55.50311279296875,93.2668685913086,64.10437774658203,98.79581451416016
2015-01-06,2002.6099853515625,17371.640625,4592.740234375,16883.189453125,167.879638671875,1161.31005859375,3281.949951171875,6366.5,153.34060668945312,86.77704620361328,26.981189727783203,28.863046646118164,56.05366516113281,92.38362884521484,63.54021072387695,97.53593444824219
2015-01-07,2025.9000244140625,17584.51953125,4650.47021484375,16885.330078125,169.9716339111328,1175.969970703125,3298.360107421875,6419.7998046875,155.2566680908203,87.81246948242188,27.269954681396484,29.526140213012695,56.91300964355469,93.5400161743164,64.25117492675781,98.70953369140625
2015-01-08,2062.139892578125,17907.869140625,4736.18994140625,17167.099609375,172.9877471923828,1196.1300048828125,3345.110107421875,6570.0,157.9842529296875,89.3614730834961,27.684602737426758,30.02531623840332,57.12785339355469,95.18809509277344,65.4336166381836,100.2800521850586
2015-01-09,2044.81005859375,17737.369140625,4704.06982421875,17197.73046875,171.60150146484375,1185.6800537109375,3338.43994140625,6501.10009765625,156.65390014648438,88.62065124511719,27.551326751708984,29.876314163208008,57.15471649169922,94.47785949707031,64.83854675292969,99.43438720703125
2015-01-12,2028.260009765625,17640.83984375,4664.7099609375,,170.25726318359375,1180.0899658203125,3344.889892578125,6501.39990234375,155.49087524414062,87.98926544189453,27.52170181274414,29.60810089111328,57.59110641479492,93.64017486572266,64.39801025390625,98.96841430664062
2015-01-13,2023.030029296875,17613.6796875,4661.5,17087.7109375,169.7783660888672,1180.6400146484375,3341.070068359375,6542.2001953125,155.08091735839844,87.7872085571289,27.654983520507812,29.81670570373535,57.50382995605469,93.55824279785156,64.14300537109375,98.95116424560547
2015-01-14,2011.27001953125,17427.08984375,4639.31982421875,16795.9609375,168.7533721923828,1177.06005859375,3326.159912109375,6388.5,154.16893005371094,87.307373046875,27.580942153930664,29.70494842529297,58.00065231323242,93.10296630859375,63.71023941040039,98.58872985839844
2015-01-15,1992.6700439453125,17320.7109375,4570.81982421875,17108.69921875,167.20751953125,1154.7099609375,3338.840087890625,6498.7998046875,152.7297821044922,86.4234619140625,27.736431121826172,29.794349670410156,58.13494110107422,92.03761291503906,63.25428009033203,97.09587860107422
2015-01-16,2019.4200439453125,17511.5703125,4634.3798828125,16864.16015625,169.4003143310547,1176.6500244140625,3300.679931640625,6550.2998046875,154.62069702148438,87.56834411621094,28.039997100830078,30.092361450195312,58.63848114013672,93.16671752929688,64.08119201660156,98.61460876464844
2015-01-19,,,,17014.2890625,,,3307.699951171875,6585.5,,,,,,,,
2015-01-20,2022.550048828125,17515.23046875,4654.85009765625,17366.30078125,169.76158142089844,1170.25,3334.02001953125,6620.10009765625,155.0056610107422,87.69465637207031,28.165874481201172,29.98805809020996,58.17521667480469,93.59466552734375,64.09664154052734,98.16590118408203
2015-01-21,2032.1199951171875,17554.279296875,4667.419921875,17280.48046875,170.61849975585938,1166.25,3354.4599609375,6728.0,155.81719970703125,88.09028625488281,28.373197555541992,30.658599853515625,58.13494110107422,94.08634185791016,64.43669128417969,98.36437225341797
2015-01-22,2063.14990234375,17813.98046875,4750.39990234375,17329.01953125,173.15574645996094,1190.3699951171875,3370.2900390625,6796.60009765625,158.20181274414062,89.42882537841797,28.47685432434082,31.306806564331055,59.168861389160156,95.55235290527344,65.38721466064453,100.17648315429688
2015-01-23,2051.820068359375,17672.599609375,4757.8798828125,17511.75,172.20639038085938,1188.9300537109375,3411.5,6832.7998046875,157.3316650390625,89.02473449707031,28.306554794311523,31.038576126098633,59.00099563598633,95.38843536376953,64.84623718261719,99.99528503417969
2015-01-26,2057.090087890625,17678.69921875,4771.759765625,17468.51953125,172.60968017578125,1200.739990234375,3398.52001953125,6852.39990234375,157.6412353515625,89.39513397216797,28.68417739868164,31.075817108154297,59.497833251953125,95.73444366455078,65.00081634521484,100.98765563964844
2015-01-27,2029.550048828125,17387.2109375,4681.5,17768.30078125,170.3328399658203,1194.6600341796875,3412.199951171875,6811.60009765625,155.5745849609375,88.35124969482422,28.706388473510742,30.911922454833984,59.51797103881836,94.57804870605469,64.1507339477539,100.44400024414062
2015-01-28,2002.1600341796875,17191.369140625,4637.990234375,17795.73046875,168.14845275878906,1175.1199951171875,3419.14990234375,6825.89990234375,153.524658203125,87.15583801269531,28.328763961791992,30.546838760375977,59.121864318847656,93.65840911865234,63.084266662597656,98.98565673828125
2015-01-29,2021.25,17416.849609375,4683.41015625,17606.220703125,169.70272827148438,1190.1800537109375,3419.050048828125,6810.60009765625,155.01397705078125,87.98926544189453,28.713794708251953,30.576648712158203,59.329978942871094,94.52339935302734,63.6793327331543,100.0298080444336
2015-01-30,1994.989990234375,17164.94921875,4635.240234375,17674.390625,167.5687255859375,1165.3900146484375,3391.199951171875,6749.39990234375,153.10635375976562,86.79383850097656,28.24732780456543,29.757099151611328,58.108089447021484,93.60376739501953,62.62058639526367,98.51104736328125
